----------------------  ------------------------------
sows.                   ('Galatians', '6', '7')
impression              ('Galatians', '6', '12')
compel                  ('Galatians', '6', '12')
will--                  ('Ephesians', '1', '5')
fulfillment--to         ('Ephesians', '1', '10')
conformity              ('Ephesians', '1', '11')
possession--to          ('Ephesians', '1', '14')
enlightened             ('Ephesians', '1', '18')
incomparably            ('Ephesians', '1', '19')
exerted                 ('Ephesians', '1', '20')
gratifying              ('Ephesians', '2', '3')
transgressions--it      ('Ephesians', '2', '5')
incomparable            ('Ephesians', '2', '7')
faith--and              ('Ephesians', '2', '8')
workmanship,            ('Ephesians', '2', '10')
"uncircumcised"         ('Ephesians', '2', '11')
circumcision"           ('Ephesians', '2', '11')
men)--                  ('Ephesians', '2', '11')
covenants               ('Ephesians', '2', '12')
barrier,                ('Ephesians', '2', '14')
hostility,              ('Ephesians', '2', '14')
abolishing              ('Ephesians', '2', '15')
cornerstone.            ('Ephesians', '2', '20')
sharers                 ('Ephesians', '3', '6')
manifold                ('Ephesians', '3', '10')
derives                 ('Ephesians', '3', '15')
knowledge--that         ('Ephesians', '3', '19')
immeasurably            ('Ephesians', '3', '20')
imagine,                ('Ephesians', '3', '20')
gentle;                 ('Ephesians', '4', '2')
spirit--just            ('Ephesians', '4', '4')
called--                ('Ephesians', '4', '4')
baptism;                ('Ephesians', '4', '5')
(what                   ('Ephesians', '4', '9')
ascended"               ('Ephesians', '4', '9')
regions?                ('Ephesians', '4', '9')
universe.)              ('Ephesians', '4', '10')
evangelists,            ('Ephesians', '4', '11')
pastors                 ('Ephesians', '4', '11')
craftiness              ('Ephesians', '4', '14')
scheming.               ('Ephesians', '4', '14')
ligament,               ('Ephesians', '4', '16')
sensitivity,            ('Ephesians', '4', '19')
sensuality              ('Ephesians', '4', '19')
truthfully              ('Ephesians', '4', '25')
sin":                   ('Ephesians', '4', '26')
unwholesome             ('Ephesians', '4', '29')
brawling                ('Ephesians', '4', '31')
hint                    ('Ephesians', '5', '3')
improper                ('Ephesians', '5', '3')
obscenity,              ('Ephesians', '5', '4')
coarse                  ('Ephesians', '5', '4')
joking,                 ('Ephesians', '5', '4')
sure:                   ('Ephesians', '5', '5')
person--such            ('Ephesians', '5', '5')
idolater--has           ('Ephesians', '5', '5')
truth)                  ('Ephesians', '5', '9')
fruitless               ('Ephesians', '5', '11')
visible,                ('Ephesians', '5', '13')
"wake                   ('Ephesians', '5', '14')
sleeper,                ('Ephesians', '5', '14')
live--not               ('Ephesians', '5', '15')
debauchery.             ('Ephesians', '5', '18')
submits                 ('Ephesians', '5', '24')
wrinkle                 ('Ephesians', '5', '27')
blemish,                ('Ephesians', '5', '27')
church--                ('Ephesians', '5', '29')
mystery--but            ('Ephesians', '5', '32')
mother"--which          ('Ephesians', '6', '2')
promise--               ('Ephesians', '6', '2')
exasperate              ('Ephesians', '6', '4')
realms.                 ('Ephesians', '6', '12')
buckled                 ('Ephesians', '6', '14')
breastplate             ('Ephesians', '6', '14')
extinguish              ('Ephesians', '6', '16')
ambassador              ('Ephesians', '6', '20')
fearlessly,             ('Ephesians', '6', '20')
tychicus,               ('Ephesians', '6', '21')
undying                 ('Ephesians', '6', '24')
overseers               ('Philippians', '1', '1')
deacons:                ('Philippians', '1', '1')
partnership             ('Philippians', '1', '5')
prayer:                 ('Philippians', '1', '9')
christ--to              ('Philippians', '1', '11')
fearlessly.             ('Philippians', '1', '14')
rivalry,                ('Philippians', '1', '15')
goodwill.               ('Philippians', '1', '15')
sincerely,              ('Philippians', '1', '17')
preached.               ('Philippians', '1', '18')
choose?                 ('Philippians', '1', '22')
two:                    ('Philippians', '1', '23')
far;                    ('Philippians', '1', '23')
absence,                ('Philippians', '1', '27')
contending              ('Philippians', '1', '27')
saved--and              ('Philippians', '1', '28')
like-minded,            ('Philippians', '2', '2')
equality                ('Philippians', '2', '6')
grasped,                ('Philippians', '2', '6')
death--even             ('Philippians', '2', '8')
cross!                  ('Philippians', '2', '8')
obeyed--not             ('Philippians', '2', '12')
absence--continue       ('Philippians', '2', '12')
complaining             ('Philippians', '2', '14')
arguing,                ('Philippians', '2', '14')
life--in                ('Philippians', '2', '16')
cheered                 ('Philippians', '2', '19')
welfare.                ('Philippians', '2', '20')
epaphroditus,           ('Philippians', '2', '25')
anxiety.                ('Philippians', '2', '28')
risking                 ('Philippians', '2', '30')
safeguard               ('Philippians', '3', '1')
mutilators              ('Philippians', '3', '2')
flesh--                 ('Philippians', '3', '3')
hebrews;                ('Philippians', '3', '5')
pharisee;               ('Philippians', '3', '5')
persecuting             ('Philippians', '3', '6')
legalistic              ('Philippians', '3', '6')
faultless.              ('Philippians', '3', '6')
rubbish,                ('Philippians', '3', '8')
christ--the             ('Philippians', '3', '9')
somehow,                ('Philippians', '3', '11')
prize                   ('Philippians', '3', '14')
heavenward              ('Philippians', '3', '14')
differently,            ('Philippians', '3', '15')
attained.               ('Philippians', '3', '16')
transform               ('Philippians', '3', '21')
friends!                ('Philippians', '4', '1')
euodia                  ('Philippians', '4', '2')
syntyche                ('Philippians', '4', '2')
yokefellow,             ('Philippians', '4', '3')
clement                 ('Philippians', '4', '3')
transcends              ('Philippians', '4', '7')
noble,                  ('Philippians', '4', '8')
admirable--if           ('Philippians', '4', '8')
praiseworthy--think     ('Philippians', '4', '8')
me--put                 ('Philippians', '4', '9')
circumstances.          ('Philippians', '4', '11')
situation,              ('Philippians', '4', '12')
philippians             ('Philippians', '4', '15')
acquaintance            ('Philippians', '4', '15')
receiving,              ('Philippians', '4', '15')
amply                   ('Philippians', '4', '18')
epaphroditus            ('Philippians', '4', '18')
colosse:                ('Colossians', '1', '2')
saints--                ('Colossians', '1', '4')
growing,                ('Colossians', '1', '6')
redemption,             ('Colossians', '1', '14')
created:                ('Colossians', '1', '16')
authorities;            ('Colossians', '1', '16')
supremacy.              ('Colossians', '1', '18')
behavior.               ('Colossians', '1', '21')
accusation--            ('Colossians', '1', '22')
afflictions,            ('Colossians', '1', '24')
fullness--              ('Colossians', '1', '25')
admonishing             ('Colossians', '1', '28')
energy,                 ('Colossians', '1', '29')
powerfully              ('Colossians', '1', '29')
personally.             ('Colossians', '2', '1')
namely,                 ('Colossians', '2', '2')
fine-sounding           ('Colossians', '2', '4')
absent                  ('Colossians', '2', '5')
thankfulness.           ('Colossians', '2', '7')
philosophy,             ('Colossians', '2', '8')
deity                   ('Colossians', '2', '9')
code,                   ('Colossians', '2', '14')
regulations,            ('Colossians', '2', '14')
disarmed                ('Colossians', '2', '15')
triumphing              ('Colossians', '2', '15')
reality,                ('Colossians', '2', '17')
disqualify              ('Colossians', '2', '18')
unspiritual             ('Colossians', '2', '18')
notions.                ('Colossians', '2', '18')
ligaments               ('Colossians', '2', '19')
sinews,                 ('Colossians', '2', '19')
rules:                  ('Colossians', '2', '20')
handle!                 ('Colossians', '2', '21')
taste!                  ('Colossians', '2', '21')
touch!"?                ('Colossians', '2', '21')
self-imposed            ('Colossians', '2', '23')
indulgence.             ('Colossians', '2', '23')
nature:                 ('Colossians', '3', '5')
creator.                ('Colossians', '3', '10')
barbarian,              ('Colossians', '3', '11')
scythian,               ('Colossians', '3', '11')
humility,               ('Colossians', '3', '12')
patience.               ('Colossians', '3', '12')
grievances              ('Colossians', '3', '13')
virtues                 ('Colossians', '3', '14')
unity.                  ('Colossians', '3', '14')
gratitude               ('Colossians', '3', '16')
embitter                ('Colossians', '3', '21')
everything;             ('Colossians', '3', '22')
serving.                ('Colossians', '3', '24')
fair,                   ('Colossians', '4', '1')
outsiders;              ('Colossians', '4', '5')
seasoned                ('Colossians', '4', '6')
(you                    ('Colossians', '4', '10')
wrestling               ('Colossians', '4', '12')
assured.                ('Colossians', '4', '12')
vouch                   ('Colossians', '4', '13')
hierapolis.             ('Colossians', '4', '13')
nympha                  ('Colossians', '4', '15')
laodiceans              ('Colossians', '4', '16')
laodicea.               ('Colossians', '4', '16')
archippus:              ('Colossians', '4', '17')
mentioning              ('1 Thessalonians', '1', '2')
conviction.             ('1 Thessalonians', '1', '5')
achaia--your            ('1 Thessalonians', '1', '8')
reception               ('1 Thessalonians', '1', '9')
dead--jesus,            ('1 Thessalonians', '1', '10')
failure.                ('1 Thessalonians', '2', '1')
opposition.             ('1 Thessalonians', '2', '2')
trick                   ('1 Thessalonians', '2', '3')
mask                    ('1 Thessalonians', '2', '5')
greed--god              ('1 Thessalonians', '2', '5')
hardship;               ('1 Thessalonians', '2', '9')
